status,D,L,NB,ND
count_1,1813,22161,224600,26747
count_2,4145,38612,207527,25037
count_3,5460,58451,187284,24126
count_4,6984,73039,172113,23185
count_5,8348,82553,162036,22384
count_6,9249,91536,152694,21842
count_7,10151,99986,143874,21310
count_8,11067,108596,134816,20842
count_9,11834,116912,126097,20478
count_10,12679,124155,118417,20070
count_11,13238,130450,111822,19811
count_12,14105,136217,105589,19410
count_13,14636,139300,102276,19109
count_14,15301,141407,99837,18776
count_15,16089,143256,97541,18435
count_16,16765,143296,97133,18127
count_17,17332,141780,98330,17879
count_18,18005,141231,98417,17668
count_19,18720,142879,96284,17438
count_20,19515,142563,96039,17204
count_21,20302,142935,95059,17025
count_22,21033,142711,94712,16865
count_23,21772,141738,95086,16725
count_24,22658,141624,94546,16493
count_25,23102,141689,93960,16570
count_26,23287,141138,94201,16695
count_27,23831,139859,94864,16767
count_28,24373,139386,94762,16800
count_29,24780,138995,94708,16838
count_30,25469,138580,94492,16780
count_31,25501,138119,94722,16979
count_32,25553,137565,95008,17195
count_33,25732,137728,94551,17310
count_34,25805,137665,94439,17412
count_35,26030,137478,94327,17486
count_36,26048,138195,93481,17597
count_37,26190,139311,92079,17741
count_38,26386,139311,91788,17836
count_39,26086,139629,91637,17969
count_40,25475,139826,91876,18144
count_41,24607,140473,91929,18312
count_42,23879,140601,92348,18493
count_43,23443,140438,92842,18598
count_44,23048,140662,92959,18652
count_45,22239,142303,91981,18798
count_46,21846,142942,91617,18916
count_47,21261,143351,91603,19106
count_48,20550,144240,91144,19387
count_49,19495,144224,91806,19796
count_50,18665,144104,92528,20024
count_51,18214,142466,94408,20233
count_52,17845,140530,96459,20487
count_53,17490,140117,96895,20819
count_54,18422,137434,98429,21036
count_55,20094,131952,102054,21221
count_56,19678,130426,103784,21433
count_57,18709,130674,104301,21637
count_58,18078,130316,105096,21831
count_59,17324,129970,106011,22016
count_60,16699,129242,107195,22185
count_61,15891,129742,107361,22327
count_62,15066,129763,108000,22492
count_63,13631,128417,109629,23644
count_64,12445,128337,109801,24738
count_65,11999,127047,111246,25029
count_66,11931,129139,109177,25074
count_67,11810,129002,109349,25160
count_68,11552,129199,109265,25305
count_69,11309,129603,109025,25384
count_70,11144,128741,109946,25490
count_71,10899,129042,109851,25529
count_72,10724,129554,109435,25608
count_73,10571,129405,109669,25676
count_74,10420,128971,110214,25716
count_75,10245,128950,110371,25755
count_76,10085,128214,111232,25790
count_77,9909,127815,111773,25824
count_78,9766,127232,112466,25857
count_79,9622,126229,113584,25886
count_80,9491,125764,114133,25933
count_81,9280,126190,113885,25966
count_82,9001,126264,114044,26012
count_83,8774,126289,114232,26026
count_84,8495,126846,113910,26070
count_85,8302,127526,113386,26107
